GR,SP,RHOB,DPSS ,NPSS,ILD,ILM,SFL,Binned_FZI_PS
46.32,-39.50,2378.71,0.17,0.31,4.24,4.24,5.89,4
46.90,-42.00,2378.71,0.17,0.31,4.61,4.65,6.44,2
55.67,-48.60,2405.00,0.14,0.36,6.26,6.38,7.16,5
56.26,-50.40,2425.50,0.14,0.35,6.59,6.84,7.20,2
56.96,-67.49,2312.50,0.23,0.25,14.71,19.37,19.28,4
48.10,-71.17,2269.50,0.24,0.25,15.69,21.24,24.72,4
30.89,-76.72,2203.03,0.27,0.26,18.76,27.61,52.09,6
49.52,-78.11,2201.01,0.27,0.27,21.14,29.05,69.92,6
49.51,-78.60,2201.01,0.27,0.28,21.93,29.32,68.66,5
44.55,-80.00,2222.22,0.26,0.28,22.55,29.05,50.92,4
40.10,-79.80,2237.88,0.25,0.27,21.33,28.39,39.10,6
43.07,-78.60,2262.50,0.23,0.25,19.02,25.53,34.41,5
43.66,-76.50,2296.50,0.21,0.24,16.07,22.55,30.00,4
42.03,-71.50,2337.00,0.19,0.24,14.47,19.46,23.83,2
52.80,-65.70,2378.22,0.17,0.25,13.39,15.35,19.46,1
55.65,-57.43,2434.50,0.13,0.26,11.84,12.97,13.57,1
46.32,-39.50,2378.71,0.17,0.31,4.24,4.24,5.89,4
46.90,-42.00,2378.71,0.17,0.31,4.61,4.65,6.44,2
55.67,-48.60,2405.00,0.14,0.36,6.26,6.38,7.16,5
56.26,-50.40,2425.50,0.14,0.35,6.59,6.84,7.20,2
56.96,-67.49,2312.50,0.23,0.25,14.71,19.37,19.28,4
48.10,-71.17,2269.50,0.24,0.25,15.69,21.24,24.72,4
30.89,-76.72,2203.03,0.27,0.26,18.76,27.61,52.09,6
49.52,-78.11,2201.01,0.27,0.27,21.14,29.05,69.92,6
49.51,-78.60,2201.01,0.27,0.28,21.93,29.32,68.66,5
44.55,-80.00,2222.22,0.26,0.28,22.55,29.05,50.92,4
40.10,-79.80,2237.88,0.25,0.27,21.33,28.39,39.10,6
43.07,-78.60,2262.50,0.23,0.25,19.02,25.53,34.41,5
43.66,-76.50,2296.50,0.21,0.24,16.07,22.55,30.00,4
42.03,-71.50,2337.00,0.19,0.24,14.47,19.46,23.83,2
52.80,-65.70,2378.22,0.17,0.25,13.39,15.35,19.46,1
55.65,-57.43,2434.50,0.13,0.26,11.84,12.97,13.57,1
59.03,-39.86,2502.74,0.09,0.29,9.35,9.94,8.73,4
54.23,-40.48,2491.74,0.09,0.30,10.51,11.03,9.86,5
56.35,-40.31,2499.96,0.10,0.30,11.33,11.70,9.65,4
62.43,-40.37,2515.93,0.09,0.30,12.23,12.60,10.41,4
66.65,-41.40,2547.60,0.07,0.29,13.14,13.61,11.43,6
67.29,-43.36,2549.93,0.06,0.28,14.41,14.90,12.11,4
62.12,-52.23,2492.14,0.09,0.27,18.77,19.93,14.53,6
54.43,-63.21,2443.54,0.11,0.26,22.27,24.73,21.23,4
48.62,-68.83,2418.17,0.13,0.25,24.04,26.41,26.64,3
44.15,-73.32,2408.71,0.14,0.26,26.40,27.14,25.87,5
53.99,-69.44,2417.54,0.14,0.29,25.35,25.01,20.18,6
53.88,-66.92,2426.63,0.14,0.29,23.09,23.37,20.52,6
53.47,-65.18,2451.71,0.13,0.26,21.77,22.30,20.13,4
55.20,-62.33,2466.28,0.11,0.26,19.70,19.74,18.19,4
62.97,-64.91,2444.15,0.12,0.26,17.57,17.48,15.47,3
58.47,-69.27,2418.66,0.13,0.26,16.84,16.99,15.61,3
54.96,-70.33,2410.06,0.14,0.26,16.75,17.02,15.90,4
56.16,-67.48,2405.41,0.15,0.26,17.09,17.54,16.05,4
53.60,-63.54,2401.92,0.15,0.27,17.36,17.88,16.31,4
51.48,-58.02,2415.89,0.14,0.28,17.03,17.21,16.49,6
54.53,-54.59,2421.25,0.14,0.28,16.09,15.79,14.58,4
62.83,-52.41,2407.47,0.15,0.28,15.11,15.02,13.75,4
68.12,-52.57,2398.44,0.16,0.27,14.55,14.69,13.73,4
74.63,-55.62,2393.70,0.15,0.29,13.77,13.67,13.10,4
94.07,-52.65,2396.54,0.15,0.29,13.55,13.63,12.94,3
98.77,-50.93,2406.97,0.15,0.28,13.27,13.42,13.42,4
81.86,-47.16,2399.26,0.15,0.28,12.94,12.85,12.64,3
75.98,-45.55,2380.21,0.16,0.31,12.46,12.42,11.70,4
76.75,-47.71,2378.95,0.16,0.30,12.07,12.28,11.86,4
77.70,-48.63,2385.11,0.16,0.29,11.79,11.97,12.17,3
77.67,-45.12,2397.26,0.15,0.30,11.16,11.12,11.09,3
76.83,-43.08,2389.96,0.15,0.30,10.46,10.41,10.76,3
78.54,-41.98,2385.51,0.16,0.29,9.98,9.94,10.31,4
83.92,-41.76,2391.55,0.16,0.31,9.84,9.79,10.08,4
81.89,-43.13,2398.21,0.15,0.28,10.07,10.30,10.09,3
72.61,-48.38,2395.19,0.15,0.29,10.60,10.96,11.42,4
72.83,-48.03,2390.61,0.16,0.28,10.65,10.69,11.26,5
79.24,-45.99,2384.99,0.16,0.28,10.32,10.09,10.34,2
83.40,-44.34,2385.81,0.15,0.28,10.02,9.90,9.46,4
81.41,-44.66,2394.65,0.15,0.31,9.78,9.88,9.89,3
81.84,-44.95,2405.28,0.15,0.28,9.76,10.05,10.21,3
82.43,-45.82,2405.67,0.15,0.28,9.80,10.07,10.45,3
78.92,-45.39,2409.14,0.14,0.29,9.64,9.76,10.44,3
81.03,-43.27,2402.54,0.15,0.29,9.32,9.38,9.79,4
84.24,-41.26,2403.78,0.15,0.30,8.84,8.77,9.35,4
85.22,-41.00,2411.05,0.15,0.30,8.72,8.75,8.60,1
85.72,-42.16,2418.69,0.14,0.30,8.75,8.89,8.95,1
82.53,-44.19,2414.12,0.14,0.30,8.84,9.16,9.77,2
78.63,-44.68,2410.73,0.14,0.29,8.95,9.24,9.68,2
51.09,-52.28,2586.50,0.04,0.27,9.26,11.33,19.54,1
49.31,-61.20,2528.47,0.07,0.25,15.51,16.55,21.91,1
48.69,-65.19,2500.37,0.09,0.24,15.51,17.98,21.61,2
53.59,-68.76,2471.12,0.11,0.24,15.51,17.09,19.10,1
58.06,-70.34,2455.02,0.11,0.25,15.44,17.01,16.40,2
74.31,-73.92,2454.01,0.12,0.26,15.23,17.01,13.26,2
90.00,-76.90,2468.51,0.11,0.28,15.09,16.86,13.07,2
93.27,-82.28,2449.00,0.12,0.29,14.81,16.32,16.55,2
84.60,-86.14,2421.50,0.13,0.28,14.74,16.10,17.90,2
72.46,-88.52,2396.01,0.15,0.27,14.60,15.87,18.22,2
67.22,-89.70,2385.02,0.16,0.27,14.59,15.71,17.47,2
63.30,-90.90,2367.50,0.17,0.31,14.58,15.62,16.51,2
50.05,-90.90,2315.35,0.20,0.32,14.64,15.61,18.08,1
67.65,-74.00,2446.15,0.12,0.28,16.42,17.67,14.71,2
67.95,-77.10,2450.02,0.12,0.29,17.35,19.02,18.58,2
52.87,-85.35,2309.00,0.20,0.32,20.66,22.03,26.01,4
37.18,-87.22,2238.46,0.25,0.32,22.13,24.72,25.07,3
38.66,-84.23,2254.00,0.24,0.32,20.28,22.65,27.11,4
58.35,-72.48,2348.04,0.18,0.28,17.43,18.16,18.41,1
78.45,-60.80,2531.00,0.08,0.26,15.61,15.83,12.24,1
89.70,-52.97,2542.00,0.06,0.30,13.98,14.37,11.59,1
76.65,-56.24,2478.42,0.11,0.30,14.46,15.63,15.41,4
68.55,-63.30,2449.82,0.12,0.29,14.87,16.14,19.64,2
59.41,-70.10,2422.22,0.14,0.28,15.49,16.74,19.02,4
58.81,-76.73,2405.58,0.15,0.28,16.45,17.21,17.69,4
44.40,-78.91,2307.96,0.21,0.30,16.76,18.43,24.38,1
44.10,-81.00,2293.50,0.22,0.31,16.69,17.63,21.25,1
48.12,-84.00,2314.87,0.20,0.31,16.71,17.40,18.21,3
51.39,-86.80,2325.51,0.20,0.29,18.25,19.37,20.94,3
51.68,-86.20,2284.94,0.22,0.30,19.55,21.43,22.34,3
56.14,-78.91,2328.51,0.20,0.28,16.07,17.21,18.17,2
86.55,-64.80,2442.27,0.12,0.30,12.97,13.39,13.70,2
108.45,-61.30,2462.09,0.12,0.32,10.42,11.11,10.32,2
56.99,-64.50,2269.63,0.24,0.31,14.27,15.64,29.73,2
52.40,-64.95,2268.14,0.23,0.31,14.80,16.36,30.00,4
49.15,-64.95,2289.65,0.21,0.30,15.35,16.97,29.32,4
44.57,-63.75,2324.92,0.18,0.29,15.85,17.28,26.25,3
43.25,-63.00,2346.22,0.17,0.28,15.85,17.13,24.38,3
45.08,-60.75,2414.56,0.14,0.28,15.64,16.36,16.51,3
45.57,-60.90,2418.53,0.14,0.29,15.35,16.36,16.36,2
45.83,-61.20,2427.45,0.17,0.30,15.21,16.36,16.97,2
46.10,-61.80,2384.24,0.18,0.31,15.14,16.36,19.20,4
46.85,-62.55,2354.75,0.19,0.31,15.21,16.36,21.14,4
52.02,-63.30,2432.46,0.13,0.29,15.42,16.36,17.28,3
54.05,-64.35,2430.99,0.13,0.30,15.49,16.36,16.51,3
54.31,-66.00,2402.78,0.16,0.30,15.49,16.36,18.34,4
54.57,-67.35,2374.32,0.18,0.30,15.49,16.36,20.28,3
52.48,-68.55,2353.83,0.18,0.29,15.49,16.36,22.03,3
50.39,-68.85,2353.84,0.19,0.29,15.35,16.22,24.16,4
48.76,-68.85,2363.35,0.18,0.30,15.21,16.07,25.18,1
46.22,-65.25,2413.24,0.15,0.30,14.80,15.64,19.73,1
55.21,-56.96,2421.22,0.15,0.33,14.02,14.68,15.15,1
57.89,-55.73,2400.44,0.16,0.33,13.84,14.49,14.29,4
59.18,-55.72,2387.96,0.17,0.33,13.84,14.49,14.16,1
33.18,-7.29,2284.67,0.22,0.28,23.11,29.31,24.29,4
33.01,-7.31,2280.23,0.22,0.27,23.15,27.86,24.31,4
33.03,-7.11,2284.08,0.22,0.27,22.65,26.89,23.11,3
35.49,-8.38,2310.34,0.21,0.27,21.39,22.46,20.43,5
35.23,-11.53,2332.41,0.19,0.26,19.78,19.80,18.58,5
31.80,-12.17,2329.02,0.20,0.27,19.46,19.42,18.70,4
28.72,-11.44,2315.66,0.20,0.28,18.96,19.08,19.51,5
33.44,-9.47,2290.38,0.22,0.28,20.09,20.09,19.43,5
35.79,-11.81,2261.77,0.24,0.28,20.87,21.00,20.32,4
31.89,-12.18,2284.88,0.22,0.29,21.08,21.03,19.37,6
38.00,-13.97,2302.45,0.21,0.27,20.33,20.40,18.82,3
38.01,-11.79,2303.20,0.21,0.27,19.28,18.83,17.89,4
36.91,-12.32,2312.43,0.20,0.27,18.60,18.41,17.63,3
35.78,-12.11,2313.42,0.20,0.27,18.22,17.76,17.26,3
62.58,-9.76,2358.09,0.17,0.27,14.80,13.38,14.65,2
69.16,-7.21,2409.75,0.14,0.29,13.86,14.18,13.00,3
90.58,11.52,2415.28,0.14,0.30,12.06,11.93,11.16,2
105.95,16.32,2405.57,0.15,0.30,12.14,12.27,11.36,3
108.30,20.63,2398.81,0.15,0.31,12.30,12.45,11.65,3
98.61,22.43,2397.54,0.15,0.32,12.17,14.59,11.89,3
46.61,47.68,2390.40,0.16,0.23,4.17,5.56,5.23,3
47.78,34.09,2428.86,0.14,0.21,6.66,8.78,10.77,3
45.95,23.92,2449.38,0.13,0.21,10.69,12.84,16.40,3
46.26,15.16,2461.07,0.12,0.20,17.60,19.43,19.24,3
43.55,13.58,2442.31,0.13,0.19,18.94,20.88,17.73,2
37.74,12.79,2418.23,0.14,0.20,18.58,20.94,16.63,2
33.86,10.99,2401.33,0.15,0.22,17.69,19.64,18.47,2
38.92,11.37,2349.11,0.18,0.21,17.50,17.62,22.02,5
41.27,11.28,2345.54,0.18,0.21,17.24,16.60,20.68,2
47.36,13.70,2422.98,0.14,0.25,15.76,14.54,13.39,2
47.39,18.16,2471.97,0.11,0.26,14.53,14.03,11.85,1
44.90,19.91,2481.61,0.10,0.25,13.58,13.82,12.58,1
44.73,19.31,2474.58,0.11,0.25,13.33,13.91,14.58,2
43.66,19.19,2458.46,0.12,0.23,14.54,15.12,13.73,2
38.44,14.60,2418.50,0.14,0.21,17.26,18.26,13.95,2
33.22,12.50,2401.00,0.15,0.21,18.66,20.18,15.26,1
28.33,10.58,2374.46,0.16,0.19,21.01,23.38,19.66,3
21.17,8.79,2339.68,0.18,0.18,26.43,30.37,39.07,5
21.29,7.63,2311.37,0.21,0.19,36.01,39.70,70.34,5
25.27,6.27,2305.23,0.21,0.22,53.35,52.30,78.11,5
29.99,5.35,2271.03,0.24,0.24,68.59,60.51,73.90,2
37.47,4.91,2208.26,0.27,0.24,69.21,56.67,60.50,4
51.44,3.77,2282.40,0.23,0.21,63.04,46.28,42.01,4
50.19,2.57,2337.32,0.19,0.21,57.47,43.59,41.06,2
44.97,1.73,2319.93,0.21,0.23,29.20,27.18,44.90,3
72.50,-1.66,2296.40,0.22,0.24,21.48,16.62,39.29,3
63.19,-11.19,2327.72,0.20,0.23,19.69,15.39,14.20,1
50.93,-16.08,2380.57,0.16,0.21,19.02,17.24,12.90,2
44.79,-12.28,2410.38,0.16,0.22,19.66,19.84,34.73,4
30.72,0.77,2293.07,0.23,0.25,33.97,32.20,35.21,4
27.95,4.91,2262.53,0.24,0.26,50.93,41.38,48.57,3
24.03,8.72,2250.85,0.25,0.23,58.25,43.27,45.42,3
24.22,11.48,2241.79,0.25,0.25,57.94,42.11,37.50,4
47.99,23.22,2293.38,0.22,0.25,30.93,24.32,28.30,5
44.82,27.28,2367.60,0.17,0.23,22.98,19.88,17.73,4
49.52,24.68,2417.95,0.14,0.24,18.60,16.93,16.92,4
57.20,29.03,2404.20,0.15,0.28,15.07,12.93,13.06,3
44.82,33.93,2398.59,0.16,0.28,14.78,13.55,10.25,4
37.62,31.39,2382.71,0.17,0.29,14.22,14.30,15.71,4
45.81,35.54,2379.16,0.17,0.26,14.53,14.22,15.25,4
58.85,37.94,2411.51,0.15,0.26,14.73,13.58,13.40,5
85.21,39.55,2420.27,0.14,0.28,13.99,12.85,12.16,4
107.48,45.64,2423.39,0.14,0.28,13.17,12.40,11.53,3
55.73,40.89,2386.76,0.16,0.30,11.73,11.68,13.66,3
44.83,42.38,2362.89,0.18,0.29,12.29,12.33,10.28,4
35.66,37.55,2319.40,0.20,0.27,14.74,14.20,11.26,4
49.99,-16.49,2414.00,0.12,0.30,5.39,6.36,5.72,2
44.66,-17.02,2460.00,0.15,0.23,6.38,7.82,8.82,2
35.39,-22.02,2514.00,0.07,0.18,8.13,9.50,29.31,2
25.49,-32.04,2450.00,0.12,0.21,8.44,7.56,10.27,2
25.84,-48.29,2356.00,0.17,0.27,7.93,7.52,5.09,2
30.13,-55.29,2328.00,0.19,0.30,7.89,7.83,6.81,3
33.93,-59.04,2322.00,0.20,0.29,7.98,8.10,9.41,1
35.62,-58.41,2307.90,0.18,0.28,9.97,11.32,11.12,2
35.95,-54.91,2304.00,0.20,0.28,11.22,13.65,16.18,4
35.23,-53.66,2282.00,0.22,0.27,13.01,16.48,30.22,3
33.35,-53.04,2266.00,0.24,0.27,14.70,18.24,40.13,4
32.59,-53.54,2238.00,0.25,0.28,17.16,19.05,28.72,5
32.78,-53.62,2238.00,0.23,0.29,17.05,18.73,25.90,3
36.84,-53.74,2236.00,0.25,0.30,16.95,17.84,21.71,2
50.46,-53.35,2245.00,0.23,0.30,16.50,16.90,18.14,4
53.65,-52.91,2256.00,0.25,0.30,16.02,16.53,15.93,3
66.24,-51.04,2282.00,0.22,0.30,15.50,16.91,18.54,3
127.19,-49.04,2233.95,0.25,0.31,14.84,16.31,20.64,1
165.87,-46.67,2187.90,0.29,0.34,14.12,15.40,19.48,3
175.62,-44.92,2201.95,0.31,0.34,13.43,14.56,16.77,2
84.31,-30.79,2316.00,0.19,0.30,10.85,10.52,15.19,4
60.54,-25.79,2358.00,0.19,0.26,9.49,9.24,11.50,1
57.38,-20.54,2372.00,0.15,0.28,8.78,8.53,7.72,5
83.55,-16.42,2371.95,0.18,0.34,7.00,6.75,6.79,2
101.21,-14.55,2353.90,0.17,0.39,6.30,6.06,5.95,4
51.35,68.92,2308.41,0.20,0.34,2.22,2.64,2.16,5
53.81,64.08,2336.48,0.18,0.24,3.07,4.14,4.72,3
52.71,59.36,2367.44,0.17,0.22,5.08,6.65,8.98,3
55.50,52.95,2364.58,0.17,0.23,10.28,11.44,10.64,3
48.32,41.89,2341.86,0.18,0.23,12.66,14.37,13.08,6
48.78,35.60,2318.48,0.19,0.24,13.48,14.44,14.02,4
52.28,32.92,2306.40,0.20,0.26,14.34,15.41,14.29,4
53.18,29.85,2305.98,0.21,0.27,15.49,16.11,14.74,4
50.10,29.22,2323.05,0.20,0.27,15.56,16.03,15.55,4
50.30,30.66,2327.99,0.19,0.28,15.19,16.13,15.30,4
48.63,31.12,2318.58,0.19,0.29,14.81,16.36,14.76,4
45.65,31.38,2318.07,0.20,0.28,15.22,16.58,15.62,4
40.43,31.29,2330.83,0.19,0.28,14.92,15.66,16.03,4
43.91,28.56,2313.51,0.20,0.27,14.80,16.64,15.07,4
41.81,28.67,2314.32,0.21,0.28,14.93,16.71,15.34,3
49.91,29.15,2319.45,0.19,0.26,14.47,15.33,16.90,4
51.77,26.65,2299.38,0.23,0.27,14.28,15.64,15.02,4
51.70,24.04,2251.03,0.27,0.28,14.06,15.18,14.31,3
48.87,22.13,2198.22,0.28,0.29,13.78,14.71,15.09,3
48.60,20.04,2233.40,0.25,0.28,13.53,14.23,16.00,3
47.91,17.69,2301.83,0.21,0.27,13.57,14.48,14.17,3
49.79,19.57,2288.42,0.22,0.26,13.88,15.26,14.77,4
46.98,24.26,2346.54,0.20,0.27,13.84,16.09,16.27,4
61.04,30.65,2381.56,0.15,0.27,13.79,15.80,17.65,6
87.22,40.26,2343.30,0.19,0.27,13.74,15.03,13.19,4
80.51,42.40,2325.68,0.19,0.31,13.19,14.26,12.20,4
52.53,71.58,2395.20,0.16,0.26,13.35,5.92,10.36,1
53.09,75.15,2359.90,0.19,0.27,13.69,5.66,11.05,2
50.52,77.23,2325.15,0.20,0.28,13.82,5.19,10.99,4
46.91,78.91,2304.45,0.21,0.28,13.88,5.02,10.76,3
44.15,80.20,2289.25,0.22,0.27,14.22,4.41,10.71,3
44.12,81.10,2284.25,0.22,0.27,15.19,4.75,11.45,3
40.52,82.40,2271.30,0.24,0.28,16.90,5.00,13.09,3
38.40,82.60,2249.15,0.25,0.29,16.39,4.84,12.71,5
34.64,82.70,2210.90,0.28,0.29,15.12,3.62,11.84,5
33.15,82.40,2196.60,0.28,0.29,13.89,2.91,10.92,3
34.79,82.00,2203.60,0.27,0.28,13.24,3.10,10.35,5
44.92,80.90,2236.10,0.24,0.27,12.80,4.09,10.16,4
59.07,78.61,2306.40,0.19,0.28,12.23,4.82,9.90,1
83.51,73.47,2369.30,0.17,0.31,10.29,5.73,8.62,6
119.00,69.20,2388.00,0.16,0.32,7.10,2.51,5.96,3
132.11,67.40,2386.80,0.16,0.30,6.81,4.15,5.68,3
111.47,66.20,2374.85,0.17,0.30,6.84,5.19,5.83,4
98.61,65.80,2374.25,0.16,0.33,6.63,4.20,5.41,3
91.56,65.60,2384.15,0.16,0.32,6.58,5.61,5.24,6
89.27,65.20,2373.40,0.17,0.31,6.34,4.95,5.29,2
92.15,65.30,2372.70,0.17,0.31,5.96,3.69,5.10,4
94.40,65.10,2372.30,0.16,0.31,5.65,5.09,4.97,3
93.66,64.80,2386.40,0.16,0.30,5.66,4.49,4.83,5
