GR,SP,RHOB,DPSS ,NPSS,ILD,ILM,SFL,Binned_FZI_PS
51.41,-66.38,2395.59,0.15,0.26,17.33,18.31,20.95,3
56.15,-64.86,2394.97,0.16,0.26,16.09,16.79,18.41,3
56.96,-63.72,2402.66,0.17,0.26,15.38,16.18,17.28,3
58.98,-56.72,2425.57,0.14,0.27,13.57,13.82,17.86,2
60.96,-51.02,2436.55,0.13,0.28,13.15,12.82,14.35,3
52.80,-53.00,2420.78,0.13,0.25,14.31,14.51,19.79,3
54.23,-61.76,2401.46,0.15,0.28,14.40,13.79,17.09,3
62.09,-71.13,2401.80,0.15,0.27,15.02,13.49,14.39,3
46.22,-71.57,2268.86,0.23,0.26,27.44,26.44,30.56,5
32.00,-65.09,2302.03,0.22,0.26,42.69,40.93,78.44,4
32.84,-63.57,2343.44,0.18,0.25,58.86,46.93,70.96,4
33.90,-63.11,2253.50,0.19,0.25,67.96,49.58,62.77,5
31.70,-62.72,2158.70,0.25,0.28,77.52,62.32,68.71,6
32.31,-62.47,2136.24,0.28,0.31,78.17,71.23,82.99,5
32.01,-61.44,2302.97,0.23,0.27,59.30,51.27,77.88,4
28.64,-58.79,2241.43,0.19,0.25,45.86,38.60,45.61,3
27.77,-57.69,2214.80,0.24,0.29,50.84,47.10,92.60,6
26.43,-57.19,2205.29,0.27,0.30,55.09,53.44,142.37,4
21.80,-55.33,2177.72,0.28,0.30,83.54,69.97,145.91,6
20.88,-53.94,2159.81,0.30,0.31,103.91,83.43,110.38,6
23.81,-53.44,2153.88,0.31,0.32,107.21,87.30,112.37,6
31.25,-52.91,2202.46,0.31,0.30,84.85,90.00,96.88,6
35.78,-52.55,2232.84,0.29,0.30,75.20,80.81,89.94,6
56.87,-47.71,2432.82,0.10,0.30,36.46,32.94,40.09,4
69.02,-44.47,2449.24,0.09,0.30,27.15,23.43,25.72,3
65.75,-38.69,2434.48,0.11,0.30,19.71,17.07,16.73,4
64.91,-37.94,2438.59,0.13,0.29,17.66,15.64,14.74,4
65.87,-38.94,2442.70,0.13,0.29,16.08,14.68,14.85,4
69.24,-36.97,2440.33,0.12,0.30,14.24,13.36,15.05,4
63.86,-36.00,2428.63,0.12,0.28,14.22,13.06,14.07,4
64.52,-35.75,2420.83,0.13,0.30,14.07,13.32,13.85,4
66.90,-35.75,2415.10,0.14,0.30,14.28,13.48,13.95,3
71.31,-35.50,2404.29,0.14,0.30,14.65,13.81,14.69,3
70.80,-35.40,2384.54,0.15,0.30,15.26,14.34,15.03,3
60.26,-36.04,2356.37,0.17,0.30,16.35,15.45,15.63,4
55.01,-36.82,2343.97,0.18,0.28,17.16,16.14,17.86,3
51.44,-36.70,2329.52,0.18,0.30,18.39,17.63,19.95,4
50.52,-36.42,2332.05,0.19,0.30,18.65,18.16,19.83,4
54.22,-35.82,2335.53,0.19,0.29,19.14,17.76,20.83,4
51.35,-34.82,2322.47,0.18,0.30,18.72,17.53,17.71,4
53.29,-35.50,2317.80,0.20,0.29,18.32,17.60,18.48,4
55.74,-35.50,2316.86,0.19,0.30,18.44,17.23,20.00,4
56.75,-34.25,2324.63,0.20,0.30,17.84,17.28,18.93,4
59.87,-33.75,2333.50,0.20,0.30,17.49,16.91,18.89,4
80.43,-33.50,2345.72,0.20,0.30,16.91,16.14,18.63,3
88.37,-32.75,2349.43,0.19,0.30,16.93,15.68,17.37,4
84.38,-32.35,2341.47,0.18,0.30,16.45,15.92,16.09,4
68.06,-32.46,2336.70,0.19,0.29,16.18,15.85,18.07,4
68.43,-31.81,2333.08,0.19,0.28,15.54,15.40,18.46,4
69.24,-30.55,2330.40,0.19,0.28,14.93,14.66,16.97,4
80.06,-23.84,2331.52,0.19,0.32,11.99,11.31,10.94,4
72.99,-25.35,2322.21,0.20,0.34,11.10,10.79,11.44,3
68.28,-25.30,2333.35,0.19,0.32,10.70,10.69,12.83,4
71.31,-23.82,2337.60,0.18,0.34,10.16,10.32,12.87,4
59.11,-65.94,2439.10,0.13,0.31,10.42,11.26,11.73,1
57.03,-70.70,2433.10,0.13,0.30,10.76,11.47,12.91,1
51.98,-73.60,2427.10,0.14,0.29,11.06,11.89,15.56,1
45.30,-82.08,2421.10,0.14,0.29,11.41,12.39,16.74,6
42.00,-84.26,2377.90,0.17,0.30,12.11,12.79,14.40,3
40.50,-84.95,2329.90,0.21,0.32,12.91,13.64,15.85,3
38.25,-85.94,2265.40,0.23,0.32,14.14,14.94,22.75,4
38.25,-86.73,2283.60,0.22,0.32,15.07,15.92,26.86,5
40.48,-88.42,2292.60,0.23,0.32,16.45,17.06,26.99,4
39.87,-89.51,2281.80,0.23,0.32,17.15,17.39,26.02,3
39.95,-91.68,2298.90,0.22,0.33,19.45,17.83,26.77,1
40.25,-92.08,2293.20,0.22,0.33,19.91,17.83,26.89,2
42.18,-90.59,2280.60,0.24,0.32,20.74,18.58,26.65,2
46.50,-87.82,2268.00,0.24,0.32,21.51,19.46,28.02,1
50.25,-86.04,2261.70,0.24,0.31,22.01,19.91,30.00,3
53.55,-83.17,2257.40,0.23,0.31,22.41,20.28,32.29,3
63.86,-73.40,2338.60,0.20,0.31,22.41,21.42,38.40,3
65.64,-69.41,2395.30,0.18,0.31,22.21,20.84,36.01,1
64.75,-68.91,2386.20,0.17,0.32,21.91,20.09,31.98,3
63.71,-69.11,2376.00,0.16,0.32,20.93,19.37,27.39,2
61.34,-73.20,2345.40,0.17,0.33,18.58,17.51,18.93,2
55.65,-77.30,2314.80,0.18,0.33,16.80,15.75,16.95,1
56.70,-75.30,2294.40,0.21,0.32,15.75,14.84,16.72,4
63.42,-67.62,2308.20,0.21,0.32,15.12,14.31,19.28,4
72.62,-60.50,2362.80,0.17,0.31,14.98,13.98,23.56,3
80.05,-56.63,2417.40,0.13,0.31,14.84,13.66,28.93,3
79.31,-52.57,2499.30,0.11,0.32,13.79,13.54,19.37,3
73.66,-53.37,2491.10,0.10,0.33,12.81,13.54,14.31,3
64.31,-62.77,2455.70,0.11,0.33,12.24,13.48,14.57,3
54.00,-74.00,2420.30,0.14,0.34,12.70,13.48,13.66,2
45.75,-80.69,2384.90,0.17,0.33,12.70,13.42,10.91,3
45.75,-82.28,2349.50,0.19,0.33,12.70,13.42,12.58,4
52.35,-83.47,2225.00,0.20,0.33,12.93,13.66,21.81,3
58.20,-85.05,2336.70,0.19,0.34,13.05,13.79,23.78,2
62.82,-85.94,2364.10,0.20,0.35,13.23,13.98,20.84,2
66.09,-83.96,2376.80,0.19,0.35,13.42,14.18,20.65,1
68.16,-81.49,2371.60,0.17,0.34,13.41,14.17,21.03,1
80.50,-73.90,2363.00,0.18,0.33,13.40,14.16,22.31,1
102.62,-64.06,2404.00,0.14,0.31,13.20,14.09,22.41,1
124.02,-52.97,2449.60,0.13,0.31,11.98,12.83,18.92,1
135.93,-46.63,2480.00,0.11,0.33,11.12,11.98,15.09,1
146.82,-39.21,2484.00,0.11,0.36,10.09,10.82,12.14,2
124.15,-32.67,2461.20,0.12,0.40,8.84,9.47,9.95,1
91.34,-29.12,2447.20,0.13,0.47,7.47,8.00,9.91,2
55.86,-19.80,2306.27,0.22,0.40,3.06,3.14,3.17,1
53.47,-26.50,2398.41,0.17,0.32,4.36,4.48,9.60,1
52.75,-29.70,2410.95,0.15,0.25,6.68,6.87,19.13,1
53.17,-32.10,2419.70,0.14,0.25,10.72,11.02,24.19,1
51.26,-34.20,2426.27,0.14,0.26,14.41,14.74,23.08,2
50.06,-35.20,2430.25,0.14,0.25,16.70,16.78,25.30,3
49.70,-36.80,2452.54,0.12,0.24,20.47,21.33,24.38,1
51.50,-40.10,2480.60,0.11,0.23,22.34,27.11,27.23,4
48.80,-45.38,2450.55,0.11,0.22,24.38,34.48,63.46,3
43.06,-51.37,2421.89,0.13,0.22,26.49,43.42,104.73,3
39.53,-56.24,2387.46,0.15,0.22,30.42,53.38,119.75,3
40.67,-59.51,2358.61,0.17,0.22,35.13,58.07,117.01,3
44.68,-61.40,2334.33,0.19,0.24,40.55,62.29,107.18,2
41.57,-62.50,2263.09,0.23,0.28,46.91,98.18,163.20,4
36.07,-62.30,2231.24,0.25,0.29,53.38,121.98,256.50,3
33.55,-62.30,2250.55,0.25,0.29,61.99,151.57,387.42,4
34.39,-62.10,2253.93,0.24,0.29,67.75,167.79,420.99,4
34.99,-61.90,2249.95,0.24,0.28,68.70,141.42,294.52,3
34.93,-61.10,2250.95,0.24,0.28,67.12,111.21,184.89,4
34.81,-60.70,2255.52,0.24,0.29,64.66,97.29,134.41,4
33.61,-60.40,2251.94,0.24,0.29,59.72,89.59,124.83,3
32.54,-59.41,2236.22,0.25,0.30,54.64,76.75,118.65,4
32.84,-57.82,2232.24,0.25,0.30,54.14,66.18,96.84,4
32.72,-56.04,2240.60,0.25,0.31,53.38,71.28,78.88,2
32.12,-54.17,2240.60,0.25,0.31,52.87,73.92,74.61,1
31.64,-51.99,2219.10,0.26,0.31,50.00,75.96,74.23,5
32.72,-48.11,2184.88,0.28,0.30,44.16,66.66,89.59,3
35.23,-46.32,2204.38,0.27,0.29,38.09,56.11,88.76,5
45.63,-41.46,2292.54,0.22,0.27,30.60,39.31,60.07,6
57.90,-37.50,2448.56,0.17,0.26,25.54,26.25,36.46,2
70.22,-33.40,2500.50,0.09,0.27,21.24,21.83,21.04,1
75.00,-30.20,2440.00,0.12,0.30,16.33,16.79,14.96,1
72.61,-31.00,2449.55,0.12,0.33,14.82,15.23,16.78,2
73.80,-30.70,2460.90,0.12,0.33,13.95,14.34,18.40,2
75.60,-29.11,2438.41,0.12,0.32,13.44,13.82,17.57,2
77.27,-28.12,2426.07,0.13,0.31,13.26,13.63,16.55,3
79.96,-27.13,2406.57,0.14,0.31,13.01,13.38,14.74,3
79.07,-26.63,2393.63,0.15,0.31,12.89,13.26,14.74,3
82.36,-25.35,2405.97,0.15,0.31,12.66,13.01,14.41,3
89.41,-24.55,2400.60,0.15,0.30,12.83,13.20,13.88,2
86.72,-25.05,2387.07,0.16,0.31,13.07,13.44,14.14,3
79.96,-25.94,2352.44,0.18,0.33,12.95,13.32,16.47,3
79.49,-25.64,2335.92,0.18,0.33,12.83,13.20,16.40,3
86.42,-22.18,2367.76,0.17,0.34,12.60,12.95,14.81,3
88.64,-18.40,2372.34,0.17,0.35,11.59,11.92,12.14,2
52.28,-25.50,2408.32,0.15,0.30,5.92,6.87,8.60,1
42.45,-48.08,2509.50,0.09,0.18,13.33,18.26,45.56,3
41.09,-53.76,2489.09,0.10,0.19,15.35,23.49,56.28,1
38.83,-58.81,2440.93,0.12,0.21,17.66,27.08,52.51,1
44.46,-60.30,2368.67,0.18,0.25,20.78,33.84,48.70,3
45.92,-60.30,2337.00,0.21,0.25,21.54,35.71,57.10,4
40.70,-60.50,2305.00,0.23,0.24,22.34,37.52,66.79,4
37.30,-60.20,2278.50,0.22,0.24,23.07,38.22,76.66,3
36.27,-59.40,2293.50,0.21,0.25,22.97,36.68,67.02,6
39.27,-58.20,2318.50,0.20,0.26,22.24,34.25,58.38,2
42.73,-56.30,2318.50,0.20,0.26,21.63,31.98,51.62,1
48.56,-51.20,2318.50,0.20,0.27,17.93,23.94,45.56,3
74.75,-30.90,2424.04,0.15,0.17,8.79,8.39,7.78,2
62.88,-37.20,2416.56,0.16,0.21,9.47,9.08,7.96,1
27.89,-54.75,2276.00,0.25,0.27,10.71,10.71,10.57,3
24.98,-58.18,2206.60,0.27,0.25,11.80,11.53,11.80,6
41.74,-57.98,2229.06,0.24,0.22,13.05,12.41,13.11,6
47.12,-58.38,2283.50,0.22,0.19,15.19,13.42,14.24,5
41.68,-51.82,2292.00,0.20,0.13,15.33,13.66,13.42,6
47.51,-43.50,2371.60,0.14,0.09,15.19,14.11,13.66,6
51.35,-49.20,2518.00,0.10,0.16,16.57,15.90,16.27,4
32.83,-53.23,2417.85,0.17,0.21,20.19,17.83,16.19,3
22.95,-60.70,2321.50,0.23,0.26,21.33,20.37,20.94,2
19.97,-62.00,2260.00,0.25,0.26,21.93,21.43,22.75,2
19.23,-61.20,2219.76,0.26,0.22,21.73,20.56,20.75,4
19.51,-58.69,2223.73,0.24,0.18,21.33,19.55,18.41,4
22.36,-48.80,2275.00,0.20,0.14,19.19,18.00,16.34,4
30.60,-40.41,2377.78,0.14,0.11,16.65,16.42,15.75,1
26.54,-56.10,2401.50,0.18,0.17,13.23,12.70,12.93,2
30.06,-54.30,2349.00,0.16,0.12,11.91,11.74,12.30,1
48.96,20.35,2202.03,0.15,0.30,3.15,3.29,5.73,1
40.35,19.07,2481.05,0.15,0.27,3.77,4.18,6.53,2
45.75,17.39,2412.94,0.20,0.30,4.15,4.39,5.51,1
64.24,13.16,2302.63,0.21,0.35,4.59,4.81,5.62,1
64.62,6.47,2339.35,0.19,0.33,5.22,5.33,6.13,1
59.52,3.99,2363.12,0.17,0.31,6.19,6.14,6.75,1
56.07,-0.30,2368.14,0.17,0.30,6.97,6.86,7.52,1
54.27,-11.51,2372.32,0.17,0.29,8.47,8.31,9.30,2
53.76,-22.58,2368.80,0.17,0.29,9.84,9.84,10.76,1
49.75,-26.24,2363.84,0.18,0.28,10.95,11.08,12.03,1
42.89,-31.93,2341.70,0.20,0.27,12.62,13.83,14.64,3
36.08,-42.51,2306.61,0.22,0.27,14.54,17.25,19.70,6
35.42,-34.24,2282.64,0.22,0.25,15.97,18.70,21.80,6
45.52,-33.05,2415.68,0.14,0.25,13.35,13.69,13.93,1
52.40,-40.25,2434.80,0.13,0.26,12.72,13.18,13.16,2
59.70,-33.19,2359.52,0.15,0.27,13.62,14.07,14.45,1
58.83,-25.58,2321.90,0.18,0.28,15.36,15.74,17.42,2
65.35,-25.61,2333.75,0.19,0.26,17.05,17.37,20.80,4
74.67,-27.46,2376.14,0.17,0.27,15.45,14.45,15.56,1
31.63,-17.50,2429.50,0.17,0.49,2.59,2.86,2.47,2
35.20,-23.58,2405.50,0.14,0.35,3.31,3.98,5.09,2
38.32,-26.56,2387.13,0.16,0.31,3.93,4.59,6.97,4
41.44,-29.56,2387.13,0.17,0.28,4.86,5.39,9.55,4
47.10,-31.58,2567.00,0.08,0.21,10.05,9.47,12.72,2
48.60,-40.90,2499.00,0.08,0.23,14.11,16.41,18.11,1
45.15,-50.70,2448.50,0.12,0.26,13.33,15.21,19.72,3
39.95,-55.90,2366.83,0.14,0.28,12.96,14.65,25.30,3
40.25,-57.70,2335.00,0.18,0.29,12.54,13.98,26.37,4
42.48,-56.70,2378.71,0.18,0.30,12.08,13.40,21.93,4
42.18,-54.40,2418.50,0.15,0.31,11.79,12.66,18.11,2
45.90,-53.00,2433.50,0.14,0.32,11.63,12.42,15.95,3
49.05,-50.50,2402.50,0.15,0.33,11.25,11.96,12.54,3
39.95,-77.00,2334.00,0.19,0.33,10.84,11.41,16.18,3
38.76,-71.30,2319.00,0.21,0.33,11.04,11.52,17.53,1
36.39,-67.82,2332.00,0.19,0.34,11.41,12.02,18.72,3
38.76,-64.26,2375.74,0.18,0.33,11.79,12.60,19.26,3
42.04,-61.98,2397.53,0.18,0.33,11.96,12.90,19.35,3
44.58,-59.60,2412.00,0.17,0.34,11.96,13.15,20.19,3
48.48,-56.10,2434.00,0.16,0.34,11.96,13.46,21.43,4
95.25,-26.24,2430.50,0.11,0.34,8.04,9.04,8.00,2
98.85,-24.36,2392.08,0.15,0.34,6.56,7.10,7.56,2
126.90,-22.08,2394.55,0.16,0.36,5.83,6.35,6.81,2
88.05,-20.59,2398.52,0.15,0.38,5.44,5.94,6.00,2
73.96,-19.70,2296.00,0.22,0.38,5.09,5.52,5.75,2
73.66,-19.70,2301.00,0.21,0.39,5.05,5.44,5.86,2
73.37,-19.80,2398.52,0.18,0.39,4.98,5.36,6.00,3
72.64,-19.70,2420.50,0.14,0.40,4.61,5.09,5.14,2
74.52,-18.91,2346.50,0.19,0.41,4.42,4.68,5.29,2
74.70,-19.60,2318.50,0.21,0.42,4.22,4.51,4.84,1
74.24,-17.10,2344.00,0.19,0.45,2.91,3.30,4.03,2
74.39,-16.60,2296.00,0.22,0.45,2.82,3.16,3.31,3
76.65,-16.50,2272.50,0.24,0.45,2.76,3.03,3.17,3
78.00,-16.60,2345.00,0.22,0.44,2.70,2.85,2.99,1
77.85,-16.50,2343.50,0.19,0.45,2.73,2.88,2.90,3
78.30,-16.70,2330.00,0.20,0.46,2.82,2.93,3.06,2
82.35,-17.40,2351.49,0.18,0.46,2.97,3.23,3.93,2
80.10,-18.10,2285.00,0.20,0.44,3.29,3.65,3.50,3
75.90,-19.70,2242.00,0.25,0.46,3.58,4.00,4.39,3
75.45,-20.99,2246.50,0.24,0.44,3.78,4.25,5.31,1
67.94,-18.69,2383.00,0.16,0.27,19.28,19.91,20.19,5
66.62,-20.20,2352.00,0.19,0.28,18.67,19.28,19.82,5
60.15,-22.21,2332.00,0.19,0.28,18.41,19.02,19.46,5
50.11,-24.43,2305.00,0.21,0.27,19.28,19.91,20.56,6
51.90,-26.35,2295.50,0.21,0.27,19.73,20.37,19.91,2
54.72,-27.88,2332.00,0.19,0.28,20.28,20.94,19.91,6
45.74,-29.60,2294.50,0.22,0.29,20.94,21.73,22.97,2
44.12,-30.50,2262.00,0.23,0.29,21.24,22.13,23.28,6
43.97,-31.10,2256.50,0.24,0.29,21.43,22.24,23.50,2
43.82,-31.30,2264.00,0.24,0.28,21.63,22.34,23.72,6
47.67,-31.70,2313.00,0.22,0.28,21.14,22.75,23.94,5
51.54,-31.50,2331.50,0.21,0.28,20.75,22.65,23.61,6
54.51,-31.30,2350.00,0.19,0.28,20.56,21.93,22.65,6
60.74,-30.30,2384.50,0.16,0.29,19.73,19.91,20.28,3
60.59,-29.90,2388.00,0.16,0.29,19.46,19.28,19.73,2
59.26,-28.99,2395.00,0.16,0.29,18.93,18.67,19.37,2
62.06,-27.27,2394.50,0.15,0.29,18.17,17.92,18.59,4
66.03,-25.25,2390.00,0.16,0.28,17.60,16.89,17.20,3
67.65,-24.24,2387.50,0.16,0.28,17.20,16.51,16.89,2
67.65,-23.23,2386.00,0.16,0.28,16.89,16.21,16.66,3
65.15,-22.42,2381.00,0.16,0.28,16.44,15.56,16.14,2
66.47,-22.42,2387.50,0.17,0.27,15.71,14.87,15.64,2
76.82,-21.72,2420.00,0.15,0.27,15.28,14.40,15.35,3
87.27,-19.80,2446.50,0.12,0.28,14.80,14.01,14.40,2
77.90,-21.52,2378.00,0.17,0.29,15.22,14.47,15.08,4
78.24,-22.32,2362.00,0.17,0.29,15.87,15.16,15.73,2
78.70,-22.32,2378.00,0.16,0.29,16.02,15.45,15.81,3
79.51,-22.32,2384.00,0.16,0.29,16.04,15.04,15.61,2
79.36,-22.42,2390.00,0.16,0.29,15.89,14.90,15.53,2
81.32,-22.63,2396.00,0.16,0.30,15.74,14.76,15.25,3
97.03,-22.42,2380.00,0.16,0.32,15.09,14.15,14.61,2
109.39,-21.92,2382.00,0.17,0.32,14.68,13.95,14.21,2
66.62,-24.55,2312.50,0.21,0.30,16.17,15.16,15.95,2
57.70,-26.94,2285.50,0.22,0.28,18.83,18.32,18.66,3
58.77,-27.33,2277.50,0.23,0.28,19.36,18.49,18.92,4
59.08,-27.32,2283.00,0.22,0.28,19.36,17.65,18.75,2
59.26,-26.60,2306.50,0.21,0.29,18.15,16.94,17.49,3
60.29,-26.40,2309.50,0.21,0.29,17.33,16.25,16.63,2
63.97,-26.60,2298.50,0.21,0.28,16.47,16.02,16.40,3
60.00,-26.10,2317.50,0.20,0.27,16.25,15.44,15.80,3
59.11,-25.80,2322.00,0.20,0.27,16.10,15.09,15.51,2
63.83,-24.79,2336.50,0.19,0.27,15.36,14.14,14.53,3
